turn,correct,first_correct_turn,kl,wasserstein,tv,cosine,euclidean,margin_gain,surprisal_adj_belief_shift,log_odds_gain,entropy_before,entropy_after,entropy_delta,hybrid_score
0,0,3,0.1898193359375,1.0815887451171875,0.541015625,0.5068359375,0.73779296875,0.12548828125,0.75927734375,6.14453125,0.9697265625,0.73193359375,-0.23779296875,1.3756774902343751
1,0,3,0.3453369140625,1.9051513671875,0.952880859375,1.23291015625,1.215576171875,0.07958984375,1.3818359375,12.83203125,2.12890625,1.64453125,-0.484375,2.64580078125
2,0,3,0.4951171875,2.960205078125,1.480224609375,1.7880859375,1.909912109375,0.013671875,1.9814453125,19.19921875,2.99072265625,2.466796875,-0.52392578125,4.0391845703125
3,1,3,0.75048828125,4.284088134765625,2.142333984375,2.175048828125,2.751220703125,0.1318359375,3.0029296875,28.06640625,3.97509765625,3.10888671875,-0.8662109375,5.5354858398437505
4,1,3,0.850341796875,5.1308135986328125,2.565673828125,2.849365234375,3.302490234375,0.0234375,3.40283203125,32.91015625,4.9521484375,4.0966796875,-0.85546875,6.857623291015625
5,1,3,0.95849609375,5.657203674316406,2.828857421875,3.819580078125,3.615478515625,0.28662109375,3.8359375,41.32421875,5.876953125,4.3150634765625,-1.5618896484375,7.592214965820313
6,1,3,1.01171875,6.002925872802734,3.001708984375,4.805908203125,3.81787109375,0.45947265625,4.048828125,47.515625,6.7626953125,4.7310791015625,-2.0316162109375,8.276280212402344
7,1,3,1.37451171875,7.43565559387207,3.718017578125,5.153076171875,4.751953125,0.63427734375,5.5,60.4765625,7.650390625,5.1217041015625,-2.5286865234375,9.753424835205077
8,1,3,1.5625,8.583559036254883,4.291748046875,5.622802734375,5.5263671875,0.64306640625,6.251953125,66.5625,8.50341796875,5.8990478515625,-2.6043701171875,11.194617462158204
9,1,3,1.73583984375,9.69847297668457,4.849365234375,6.129150390625,6.27197265625,0.62939453125,6.9453125,72.7734375,9.34326171875,6.6690673828125,-2.6741943359375,12.60825881958008
10,1,3,1.73583984375,9.69847297668457,4.849365234375,6.129150390625,6.27197265625,0.62939453125,6.9453125,72.7734375,9.34326171875,6.6690673828125,-2.6741943359375,12.60825881958008
0,0,1,0.00750732421875,0.198028564453125,0.0989990234375,0.98876953125,0.1044921875,0.0732421875,0.029754638671875,1.4775390625,1.1884765625,1.0810546875,-0.107421875,0.8899414062500001
1,1,1,0.15838623046875,1.234130859375,0.6170654296875,1.58544921875,0.71484375,0.412109375,0.633758544921875,7.8955078125,2.48046875,1.9111328125,-0.5693359375,2.25926513671875
2,1,1,0.37554931640625,2.227783203125,1.1138916015625,2.4013671875,1.2919921875,0.908935546875,1.502899169921875,17.4267578125,3.7802734375,2.2509765625,-1.529296875,3.4051391601562497
3,1,1,0.59039306640625,3.2208709716796875,1.6104736328125,3.224609375,1.8662109375,1.405517578125,2.362274169921875,27.1689453125,5.0830078125,2.576904296875,-2.506103515625,4.543853759765625
4,1,1,0.67523193359375,3.9355926513671875,1.9678955078125,4.08740234375,2.28076171875,1.762939453125,2.701629638671875,32.2744140625,6.4072265625,3.360107421875,-3.047119140625,5.678204345703126
5,1,1,0.73388671875,4.4782562255859375,2.2393798828125,4.96728515625,2.611572265625,2.0341796875,2.936370849609375,35.6806640625,7.7470703125,4.373779296875,-3.373291015625,6.797650146484375
6,1,1,0.94921875,5.5507354736328125,2.7755126953125,5.7060546875,3.236083984375,2.5703125,3.798187255859375,44.6650390625,9.078125,4.80078125,-4.27734375,8.032769775390626
7,1,1,1.06549072265625,6.408477783203125,3.2042236328125,6.4931640625,3.735595703125,2.9990234375,4.263031005859375,50.6767578125,10.412109375,5.53466796875,-4.87744140625,9.24482421875
8,1,1,1.36090087890625,7.587882995605469,3.7940673828125,7.18603515625,4.423095703125,3.5888671875,5.444671630859375,61.6455078125,11.75,5.840087890625,-5.909912109375,10.509140014648438
9,1,1,1.74371337890625,9.075004577636719,4.5377197265625,7.5009765625,5.289306640625,4.0966796875,6.975921630859375,72.2001953125,13.07421875,6.365478515625,-6.708740234375,12.063558959960938
10,1,1,1.74371337890625,9.075004577636719,4.5377197265625,7.5009765625,5.289306640625,4.0966796875,6.975921630859375,72.2001953125,13.07421875,6.365478515625,-6.708740234375,12.063558959960938
0,0,7,0.1893310546875,0.8595733642578125,0.4296875,0.79443359375,0.431396484375,0.200439453125,0.75732421875,7.2734375,1.2177734375,0.8603515625,-0.357421875,1.2720520019531252
1,0,7,0.2049560546875,1.0569000244140625,0.5283203125,1.787109375,0.54052734375,0.142822265625,0.81982421875,10.1796875,1.796875,1.56005859375,-0.23681640625,1.974688720703125
2,0,7,0.2348480224609375,1.272186279296875,0.635986328125,2.7724609375,0.6778564453125,0.150634765625,0.93963623046875,13.279296875,2.533203125,2.24560546875,-0.28759765625,2.6908905029296877
3,0,7,0.24761962890625,1.438140869140625,0.718994140625,3.76904296875,0.78271484375,0.233642578125,0.990753173828125,15.826171875,3.1806640625,2.657470703125,-0.523193359375,3.229736328125
4,0,7,0.3040771484375,1.7201461791992188,0.8599853515625,4.74853515625,0.9503173828125,0.209716796875,1.216949462890625,21.533203125,3.8505859375,3.244873046875,-0.605712890625,3.9501068115234377
5,0,7,0.33282470703125,2.0014190673828125,1.0006103515625,5.74169921875,1.1138916015625,0.350341796875,1.332122802734375,26.701171875,4.5859375,3.564208984375,-1.021728515625,4.531988525390625
6,0,7,0.447021484375,2.4435949325561523,1.2216796875,6.7255859375,1.3736572265625,0.571533203125,1.788909912109375,38.466796875,5.37744140625,3.6612548828125,-1.7161865234375,5.1433559417724615
7,1,7,1.160400390625,4.223814964294434,2.11181640625,6.82989501953125,2.5269775390625,0.775634765625,4.642425537109375,53.294921875,6.20751953125,3.9117431640625,-2.2957763671875,6.846276473999024
8,1,7,1.165374755859375,4.336241722106934,2.16802978515625,7.82843017578125,2.5966796875,0.831787109375,4.662353515625,54.6142578125,7.09228515625,4.6568603515625,-2.4354248046875,7.507903671264648
9,1,7,1.410247802734375,5.578948020935059,2.78961181640625,8.18975830078125,3.4453125,0.733154296875,5.641845703125,61.7470703125,7.86083984375,5.5718994140625,-2.2889404296875,9.086968612670898
10,1,7,1.410247802734375,5.578948020935059,2.78961181640625,8.18975830078125,3.4453125,0.733154296875,5.641845703125,61.7470703125,7.86083984375,5.5718994140625,-2.2889404296875,9.086968612670898
0,0,-1,0.137451171875,0.72344970703125,0.36181640625,0.65625,0.48095703125,-0.03662109375,0.55029296875,4.5703125,1.1630859375,1.2353515625,0.072265625,1.3548095703124998
